Phrase,No. of Emails,Fitness
digital,171,3.0779998
easily,171,3.0779998
prize,169,3.0419998
blue,168,3.024
cialis,168,3.024
failure,168,3.024
multiple,168,3.024
competitive,166,2.988
versions,166,2.988
bell,163,2.934
lottery,163,2.934
music,163,2.934
paliourg,162,2.9160001
male,159,2.8619998
twenty,157,2.826
communications,154,2.7719998
batch,153,2.754
font,151,2.718
desire,147,2.6460001
awesome,143,2.574
mortgage,141,2.5379999
madam,139,2.5019999
href,136,2.448
mine,133,2.394
sand,133,2.394
exercise,131,2.3579998
quit,131,2.3579998
mailman,130,2.34
chair,128,2.304
attack,123,2.214
fixed,122,2.1959999
variety,121,2.178
passe,119,2.142
tag,118,2.1239998
european,115,2.07
sincerely,115,2.07
bias,114,2.052
expensive,114,2.052
fear,114,2.052
assured,113,2.034
cool,113,2.034
edge,113,2.034
lay,113,2.034
emerge,112,2.0159998
mobile,110,1.98
books,109,1.962
border,109,1.962
weekend,108,1.9439999
writing,107,1.9259999
medicine,106,1.9079999
story,105,1.89
laws,104,1.872
forever,103,1.854
glad,103,1.854
dial,102,1.836
inch,102,1.836
stab,101,1.8179998
dome,100,1.8
california,98,1.7639999
align,97,1.7459999
hospital,97,1.7459999
towards,97,1.7459999
completely,96,1.7279999
military,95,1.71
solid,95,1.71
collection,94,1.6919999
smoking,93,1.6739999
river,91,1.638
brain,90,1.62
games,90,1.62
lock,90,1.62
dedicate,84,1.512
severe,83,1.494
tabs,82,1.476
waste,82,1.476
healthy,81,1.4580001
width,81,1.4580001
auditor,80,1.44
born,80,1.44
fda,79,1.4219999
figure,79,1.4219999
club,78,1.4039999
diamond,77,1.3859999
officials,76,1.368
ebay,75,1.35
detect,74,1.332
healthcare,74,1.332
imagine,72,1.2959999
blvd,71,1.278
planet,71,1.278
craft,70,1.26
rolex,70,1.26
truth,69,1.242
das,68,1.224
apple,65,1.17
filter,65,1.17
vice,64,1.152
voip,64,1.152
disease,63,1.134
laugh,63,1.134
sad,63,1.134
cold,62,1.1159999
ignore,62,1.1159999
patient,62,1.1159999
spain,62,1.1159999
sweet,62,1.1159999
inches,61,1.0979999
motor,61,1.0979999
loading,59,1.0619999
studies,59,1.0619999
bird,58,1.0439999
desktop,57,1.026
english,57,1.026
trusted,57,1.026
seminar,56,1.0079999
grab,55,0.99
insider,55,0.99
auction,54,0.97199994
compete,54,0.97199994
complimentary,54,0.97199994
diverse,54,0.97199994
broadband,53,0.95399994
youth,53,0.95399994
drilling,52,0.936
smoke,52,0.936
society,52,0.936
span,52,0.936
bread,51,0.918
employer,51,0.918
dreams,50,0.9
drinks,50,0.9
replica,50,0.9
boat,49,0.88199997
birth,48,0.86399996
captain,48,0.86399996
closed,48,0.86399996
explosion,48,0.86399996
mature,48,0.86399996
cartier,47,0.84599996
height,47,0.84599996
stone,47,0.84599996
gentle,45,0.81
pinnacle,44,0.792
bye,43,0.774
council,43,0.774
nomad,42,0.756
watches,42,0.756
beauty,41,0.738
wyoming,41,0.738
demonstrate,40,0.72
everybody,40,0.72
copper,39,0.70199996
derive,39,0.70199996
hello,39,0.70199996
von,39,0.70199996
envelope,38,0.684
gut,38,0.684
yap,38,0.684
dominant,37,0.666
medz,36,0.64799994
dvds,35,0.63
millionaire,35,0.63
conquer,34,0.612
conversion,34,0.612
eogi,32,0.576
golden,32,0.576
anonymous,31,0.55799997
cravings,31,0.55799997
ibm,31,0.55799997
lcd,31,0.55799997
nbsp,31,0.55799997
petroieum,31,0.55799997
wysak,31,0.55799997
wysk,31,0.55799997
fraudulent,30,0.54
israeli,30,0.54
pride,30,0.54
produces,30,0.54
rfid,30,0.54
versus,30,0.54
adipren,29,0.52199996
metals,29,0.52199996
acres,28,0.50399995
basket,28,0.50399995
bien,28,0.50399995
pour,28,0.50399995
immune,27,0.48599997
palestinian,27,0.48599997
screw,27,0.48599997
admiral,26,0.468
patients,26,0.468
compass,25,0.45
disposal,25,0.45
durable,25,0.45
fedex,25,0.45
hospitals,25,0.45
ontario,25,0.45
wearing,25,0.45
cheat,24,0.43199998
plenty,24,0.43199998
toronto,24,0.43199998
affirm,23,0.41399997
caribbean,23,0.41399997
cigarette,23,0.41399997
discreetly,23,0.41399997
herself,23,0.41399997
replicas,23,0.41399997
stern,23,0.41399997
architecture,22,0.396
frederick,22,0.396
scoop,22,0.396
alabama,21,0.378
awake,21,0.378
limp,21,0.378
adoption,20,0.36
backlog,20,0.36
clay,20,0.36
comprehend,20,0.36
contractual,20,0.36
definition,20,0.36
dosage,20,0.36
omega,20,0.36
purge,20,0.36
debate,19,0.342
doom,19,0.342
abbot,18,0.32399997
accuse,18,0.32399997
dune,18,0.32399997
happier,18,0.32399997
spyware,18,0.32399997
antarctic,17,0.306
contributor,17,0.306
korea,17,0.306
naked,17,0.306
speedy,17,0.306
yankee,17,0.306
contrast,16,0.288
electrolytic,16,0.288
frankfurt,16,0.288
lls,16,0.288
nascar,16,0.288
sacrament,16,0.288
coffer,15,0.27
dishwasher,15,0.27
extender,15,0.27
alliterate,14,0.25199997
belize,14,0.25199997
beverage,14,0.25199997
calamity,14,0.25199997
cite,14,0.25199997
draftee,14,0.25199997
haben,14,0.25199997
mnei,14,0.25199997
pgpu,14,0.25199997
piaget,14,0.25199997
worn,14,0.25199997
aerofoam,13,0.234
aniline,13,0.234
barcelona,13,0.234
blackjack,13,0.234
butane,13,0.234
delphine,13,0.234
dignity,13,0.234
leth,13,0.234
vous,13,0.234
blaze,12,0.21599999
cobol,12,0.21599999
compendia,12,0.21599999
cotta,12,0.21599999
hood,12,0.21599999
outlets,12,0.21599999
wombat,12,0.21599999
archival,11,0.198
bereave,11,0.198
bestowal,11,0.198
bodyguard,11,0.198
bogey,11,0.198
britannica,11,0.198
bronco,11,0.198
cationic,11,0.198
deborah,11,0.198
earmark,11,0.198
fires,11,0.198
harvard,11,0.198
algerian,10,0.18
alkaline,10,0.18
assemblage,10,0.18
backgammon,10,0.18
barkeep,10,0.18
baseboard,10,0.18
bathtub,10,0.18
biosphere,10,0.18
bmw,10,0.18
bourn,10,0.18
bunny,10,0.18
catapult,10,0.18
cognitive,10,0.18
daydream,10,0.18
desolater,10,0.18
digitalis,10,0.18
kenton,10,0.18
miningnews,10,0.18
nausea,10,0.18
pope,10,0.18
portugal,10,0.18
trivia,10,0.18
wastes,10,0.18
yeah,10,0.18
atrium,9,0.16199999
avogadro,9,0.16199999
cabal,9,0.16199999
clearheaded,9,0.16199999
colander,9,0.16199999
conductance,9,0.16199999
contestant,9,0.16199999
easternmost,9,0.16199999
eleanor,9,0.16199999
exclamation,9,0.16199999
guarded,9,0.16199999
infections,9,0.16199999
proletariat,9,0.16199999
trailer,9,0.16199999
advocate,8,0.144
aforesaid,8,0.144
ambient,8,0.144
anchorite,8,0.144
ascribe,8,0.144
auschwitz,8,0.144
bassinet,8,0.144
beguile,8,0.144
belch,8,0.144
belgian,8,0.144
boris,8,0.144
bravado,8,0.144
buxton,8,0.144
clatter,8,0.144
convoy,8,0.144
dainty,8,0.144
diligent,8,0.144
flask,8,0.144
spacious,8,0.144
trailers,8,0.144
wanna,8,0.144
wreck,8,0.144
adware,7,0.12599999
asperity,7,0.12599999
bingo,7,0.12599999
blackbird,7,0.12599999
blueback,7,0.12599999
chairwomen,7,0.12599999
cholinesterase,7,0.12599999
comparing,7,0.12599999
couturier,7,0.12599999
coyote,7,0.12599999
crossword,7,0.12599999
debugged,7,0.12599999
debussy,7,0.12599999
derogatory,7,0.12599999
desideratum,7,0.12599999
elution,7,0.12599999
galt,7,0.12599999
gretchen,7,0.12599999
illustrious,7,0.12599999
inaccuracy,7,0.12599999
monkish,7,0.12599999
olivier,7,0.12599999
refid,7,0.12599999
xanaax,7,0.12599999
alibi,6,0.107999995
assessed,6,0.107999995
atlantis,6,0.107999995
biotic,6,0.107999995
burly,6,0.107999995
chlorate,6,0.107999995
chuff,6,0.107999995
cinch,6,0.107999995
colosseum,6,0.107999995
compote,6,0.107999995
convergent,6,0.107999995
deportee,6,0.107999995
dobson,6,0.107999995
doodle,6,0.107999995
drapery,6,0.107999995
faulty,6,0.107999995
geec,6,0.107999995
grubby,6,0.107999995
gusset,6,0.107999995
homicide,6,0.107999995
middleware,6,0.107999995
paulus,6,0.107999995
pontific,6,0.107999995
powerline,6,0.107999995
shoofly,6,0.107999995
agnes,5,0.09
anachronistic,5,0.09
birdseed,5,0.09
cognizant,5,0.09
commendation,5,0.09
handiwork,5,0.09
macedonia,5,0.09
mirfak,5,0.09
seashore,5,0.09
shaken,5,0.09
vprx,5,0.09
wamu,5,0.09
allegedly,4,0.072
asphyxiate,4,0.072
backstop,4,0.072
beachcomb,4,0.072
counterargument,4,0.072
germicidal,4,0.072
glans,4,0.072
mobipocket,4,0.072
mutuel,4,0.072
mythology,4,0.072
sildenafil,4,0.072
snout,4,0.072
tirr,4,0.072
vortices,4,0.072
wowgao,4,0.072
aeruginosa,3,0.053999998
artprice,3,0.053999998
cartoons,3,0.053999998
handheldmed,3,0.053999998
hypothalamus,3,0.053999998
indianapolis,3,0.053999998
isotherm,3,0.053999998
mastery,3,0.053999998
spanbr,3,0.053999998
triune,3,0.053999998
worldexpo,3,0.053999998
ambiien,2,0.036
basetxt,2,0.036
dtomi,2,0.036
frontlinefocus,2,0.036
hdtv,2,0.036
kwbt,2,0.036
televisions,2,0.036
abdv,1,0.018
allixon,1,0.018
axcp,1,0.018
cory,1,0.018
fbgo,1,0.018
guyana,1,0.018
iaagra,1,0.018
shatalmic,1,0.018
speedway,1,0.018
srge,1,0.018
tariffs,1,0.018
udve,1,0.018
codine,0,0
medianet,0,0
prescrlptlonneeded,0,0
shortwav,0,0
