Phrase,No. of Emails,Fitness
"without,cheap,window,pill",1573,18.876001
"interested,computer",1156,18.496
million,1020,18.36
soft,1012,18.216
"bar,lose,red,core",1506,18.072
"investment,adobe,meds",1289,18.046
"looking,body,country,communications,computer",1804,18.04
"security,transfer",1119,17.904
website,991,17.838
"million,technology,statements,technology",1483,17.796001
late,988,17.783998
"products,phone,communication",1267,17.737999
"power,fast",1105,17.68
"details,statement",1099,17.584
"results,affiliate,fast",1255,17.57
"die,strong,results,affiliate",1462,17.544
within,973,17.514
"auto,div,loss,none,viagra",1742,17.42
"software,instant,suite,auto,face",1733,17.33
"air,highly,power",1237,17.317999
remove,959,17.262
"increase,draw",1077,17.232
"country,less,securities,major",1431,17.172
"without,drug",1063,17.008001
"private,run,image,rest",1415,16.980001
"program,der,entertainment",1212,16.967999
fun,939,16.902
"auto,div",1055,16.88
online,931,16.758
"project,quit,private",1189,16.646
"internationa,windows,fire,project,quit",1652,16.52
"max,loss,internationa",1175,16.45
link,913,16.433998
best,910,16.38
professional,904,16.272
"office,computron",1013,16.208
"bar,lose",997,15.952001
"looking,body",996,15.936
office,882,15.875999
"save,client,limited,media,land",1583,15.83
"last,spam",986,15.776
